"Reference","Quantity","Value","Footprint","Digikey","Mouser"
"C1, C7",2,"10 μF, 16 V","0603","1276-6769-1-ND","81-GRM188C81C106MA3D"
"C2, C3",2,"0.22 μF, 16 V","0603","1276-1112-1-ND","81-GCJ188R71C224KA1D"
"C4, C5, C8, C10",4,"0.1 μF, 16 V","0603","1276-1005-1-ND","81-GCJ188R71C105KA1D"
"C6, C9",2,"1 μF, 16 V","0603","1276-6524-1-ND","81-GCM188R71C105KA4J"
"J1",1,"USB-micro jack","Molex 47642-0001","WM1398CT-ND","538-47642-0001"
"J2",1,"128 × 32 OLED","1×4 pin header","",""
"Q1, Q2, Q3",3,"MMBT3904T","SOT416 (aka SOT523)","MMBT3904T-FDICT-ND","621-MMBT3904T-F"
"R1, R2, R3, R5",4,"4.7 kΩ","0603","311-4.70KHRCT-ND","603-RC0603FR-074K7L"
"R4",1,"1 MΩ","0603","311-1.00MHRCT-ND","603-RC0603FR-071ML"
"R6",1,"1.5 kΩ","0603","311-1.50KHRCT-ND","603-RC0603FR-071K5L"
"SW1",1,"Push switch","Wurth 434331013822","732-10144-1-ND","710-434331013822"
"U1",1,"AP2112K-3.3","SOT 23-5","AP2112K-3.3TRG1DICT-ND","621-AP2112K-3.3TRG1"
"U2",1,"ST662A","SOIC-8","497-6541-1-ND","511-ST662ABD-TR"
"U3",1,"ATSAMD21E18A","TQFP-32","ATSAMD21E18A-AUTCT-ND","556-ATSAMD21E18A-AUT"
